省份,大学,类型,公或民办,本或专科,985,211,双一流,城市,隶属于,地址
北京,北京工业大学耿丹学院,综合类,民办,普通本科,2,2,,北京市,北京市教委,北京市顺义区牛栏山镇牛富路3号
北京,北京第二外国语学院中瑞酒店管理学院,语言类,民办,普通本科,2,2,,北京市,北京市教委,北京市大兴区庞各庄镇工业区田园路11号
北京,北京京北职业技术学院,理工类,公办,专科（高职）,2,2,,北京市,北京市,北京市怀柔区小中富乐一区188号
北京,中央戏剧学院,艺术类,公办,普通本科,2,2,双一流,北京市,教育部,东城校区地址：北京市东城区东棉花胡同39号;昌平校区地址：北京市昌平区宏福中路4号
北京,中国科学院大学,综合类,公办,普通本科,2,2,双一流,北京市,中国科学院,北京市玉泉路19号（甲）
北京,北京科技职业学院,理工类,民办,专科（高职）,2,2,,北京市,北京市教委,北京市昌平区沙河沙阳路18号
北京,中国人民解放军陆军装甲兵学院,军事类,公办,普通本科,2,2,,北京市,解放军总装备部,北京市丰台区杜家坎21号装甲兵工程学院
北京,北京信息职业技术学院,理工类,公办,专科（高职）,2,2,,北京市,北京市,"北京市朝阳区芳园西路5号（院本部）,北京市朝阳区东坝红松园北里甲1号（东校区）"
北京,北京电子科技职业学院,理工类,公办,专科（高职）,2,2,,北京市,北京市,北京经济技术开发区凉水河一街9号
北京,中央美术学院,艺术类,公办,普通本科,2,2,双一流,北京市,教育部,望京校区地址：北京市朝阳区花家地南街8号;燕郊校区地址：河北省三河市燕郊经济开发区燕顺路177号
北京,北京财贸职业学院,财经类,公办,专科（高职）,2,2,,北京市,北京市,"北京市通州区北关大街88号（校本部）,北京市房山区琉璃河南涿州大石桥（涿州校区）"
北京,北京工业职业技术学院,理工类,公办,专科（高职）,2,2,,北京市,北京市,北京市石景山区石门路368号
北京,首钢工学院,理工类,公办,普通本科,2,2,,北京市,北京市,北京市石景山区晋元庄路6号
北京,中国社会科学院大学,其他,公办,普通本科,2,2,,北京市,中国社会科学院,北京市房山区长于大街11号
北京,中央音乐学院,艺术类,公办,普通本科,2,1,双一流,北京市,教育部,中国北京西城区鲍家街43号
北京,北京青年政治学院,语言类,公办,专科（高职）,2,2,,北京市,北京市,北京市朝阳区花家地街9号
北京,北京科技经营管理学院,财经类,民办,专科（高职）,2,2,,北京市,北京市教委,北京市昌平区沙河镇顺沙路6号院
北京,北京政法职业学院,政法类,公办,专科（高职）,2,2,,北京市,北京市,北京市大兴区黄亦路（团河段）2号
北京,首都体育学院,体育类,公办,普通本科,2,2,,北京市,北京市,北京市海淀区北三环西路11号
北京,中国人民解放军战略支援部队航天工程大学,军事类,公办,普通本科,2,2,,北京市,解放军总装备部,北京怀柔3380信箱23号
北京,北京培黎职业学院,财经类,民办,专科（高职）,2,2,,北京市,北京市教委,北京市海淀区双清路1号
北京,北京劳动保障职业学院,财经类,公办,专科（高职）,2,2,,北京市,北京市,"北京市朝阳区惠新东街5号（南校区）,北京市昌平区南口路32号（北校区）"
北京,北京舞蹈学院,艺术类,公办,普通本科,2,2,,北京市,北京市,北京海淀区万寿寺路一号
北京,北京经贸职业学院,财经类,民办,专科（高职）,2,2,,北京市,北京市教委,北京市房山区良乡高教园区
北京,北京农业职业学院,农林类,公办,专科（高职）,2,2,,北京市,北京市,"南校区：北京市房山区长阳镇稻田南里5号,北校区：北京市海淀区香山普安店29号"
北京,北京交通职业技术学院,理工类,公办,专科（高职）,2,2,,北京市,北京市,北京市昌平区昌平镇北京交通职业技术学院
